ticker,company,sector,year,revenue,net_income,gross_profit,capex,operating_cf,net_margin,capex_to_revenue,sentiment_score,sentiment_pos,sentiment_neg,sentiment_neu,gdp_level_q4,gdp_yoy,cpi_yoy_annual
GIL.TO,Gildan Activewear Inc.,Consumer Cyclical,2022,3240482000.0,541540000.0,992412000.0,-244554000.0,413488000.0,0.1671171140589579,0.0754684025401159,-0.0319,0.0903,0.1222,0.7875,594557.3,3.0775165306879737,6.798089916666667
GIL.TO,Gildan Activewear Inc.,Consumer Cyclical,2023,3195911000.0,533580000.0,880054000.0,-208009000.0,546606000.0,0.1669570898563821,0.0650859801790475,,,,,602387.8,1.31703033500723,3.8944715
GIL.TO,Gildan Activewear Inc.,Consumer Cyclical,2024,3270590000.0,400865000.0,1003679000.0,-150352000.0,501388000.0,0.1225665705576058,0.0459709104473504,,,,,621065.3,3.100577402131988,2.3854825
GIL.TO,Gildan Activewear Inc.,Consumer Cyclical,2025,3619236000.0,398879000.0,1129867000.0,-113807000.0,606315000.0,0.1102108290257943,0.0314450342558484,,,,,,,
GWO.TO,Great-West Lifeco Inc.,Financial Services,2022,-2693000000.0,3726000000.0,,,3772000000.0,-1.383587077608615,,,,,,594557.3,3.0775165306879737,6.798089916666667
GWO.TO,Great-West Lifeco Inc.,Financial Services,2023,36731000000.0,2868000000.0,,,5203000000.0,0.0780811848302523,,,,,,602387.8,1.31703033500723,3.8944715
GWO.TO,Great-West Lifeco Inc.,Financial Services,2024,34723000000.0,4070000000.0,,,4751000000.0,0.1172133744204129,,,,,,621065.3,3.100577402131988,2.3854825
GWO.TO,Great-West Lifeco Inc.,Financial Services,2025,39104000000.0,4120000000.0,,,2708000000.0,0.1053600654664484,,,,,,,,
IMO.TO,Imperial Oil Limited,Energy,2022,57234000000.0,7340000000.0,10191000000.0,-1526000000.0,10482000000.0,0.1282454485096271,0.0266624733549987,0.0543,0.0846,0.0304,0.885,594557.3,3.0775165306879737,6.798089916666667
IMO.TO,Imperial Oil Limited,Energy,2023,48300000000.0,4889000000.0,7115000000.0,-1785000000.0,3734000000.0,0.1012215320910973,0.0369565217391304,,,,,602387.8,1.31703033500723,3.8944715
IMO.TO,Imperial Oil Limited,Energy,2024,48824000000.0,4790000000.0,7058000000.0,-1867000000.0,5981000000.0,0.0981074881205964,0.0382393904637063,,,,,621065.3,3.100577402131988,2.3854825
IMO.TO,Imperial Oil Limited,Energy,2025,45203000000.0,3268000000.0,5548000000.0,-2005000000.0,6708000000.0,0.0722960865429285,0.0443554631329779,,,,,,,
IFC.TO,Intact Financial Corporation,Financial Services,2022,22539000000.0,2454000000.0,,-411000000.0,3665000000.0,0.1088779448955144,0.0182350592306668,0.0195,0.0723,0.0528,0.8749,594557.3,3.0775165306879737,6.798089916666667
IFC.TO,Intact Financial Corporation,Financial Services,2023,23290000000.0,1316000000.0,,-458000000.0,1846000000.0,0.0565049377415199,0.0196650923142979,,,,,602387.8,1.31703033500723,3.8944715
IFC.TO,Intact Financial Corporation,Financial Services,2024,24984000000.0,2297000000.0,,-429000000.0,3387000000.0,0.0919388408581492,0.0171709894332372,,,,,621065.3,3.100577402131988,2.3854825
IFC.TO,Intact Financial Corporation,Financial Services,2025,26073000000.0,3365000000.0,,-457000000.0,4388000000.0,0.1290607141487362,0.0175277106585356,,,,,,,
KXS.TO,Kinaxis Inc.,Technology,2022,366889000.0,20080000.0,235787000.0,-18249000.0,24518000.0,0.0547304498090703,0.0497398395700061,-0.3144,0.066,0.3804,0.5536,594557.3,3.0775165306879737,6.798089916666667
KXS.TO,Kinaxis Inc.,Technology,2023,426971000.0,10060000.0,258897000.0,-2299000.0,79357000.0,0.023561319152823,0.0053844406294572,,,,,602387.8,1.31703033500723,3.8944715
KXS.TO,Kinaxis Inc.,Technology,2024,483111000.0,56000.0,294583000.0,-4515000.0,99213000.0,0.0001159153900449,0.0093456783223731,,,,,621065.3,3.100577402131988,2.3854825
KXS.TO,Kinaxis Inc.,Technology,2025,548030000.0,70699000.0,354278000.0,-5689000.0,117800000.0,0.1290057113661661,0.0103808185683265,,,,,,,
LSPD.TO,Lightspeed Commerce Inc.,Technology,2022,548372000.0,-288433000.0,271173000.0,-10653000.0,-87218000.0,-0.5259805387583611,0.0194265936262245,,,,,594557.3,3.0775165306879737,6.798089916666667
LSPD.TO,Lightspeed Commerce Inc.,Technology,2023,730506000.0,-1070009000.0,331961000.0,-13121000.0,-125284000.0,-1.4647504606396111,0.0179615225610741,0.2937,0.326,0.0323,0.6417,602387.8,1.31703033500723,3.8944715
LSPD.TO,Lightspeed Commerce Inc.,Technology,2024,909270000.0,-163964000.0,385250000.0,-18184000.0,-97667000.0,-0.1803248759994281,0.0199984603033202,,,,,621065.3,3.100577402131988,2.3854825
LSPD.TO,Lightspeed Commerce Inc.,Technology,2025,1076826000.0,-667196000.0,450205000.0,-23123000.0,-32762000.0,-0.6195949949202564,0.021473292806823,,,,,,,
L.TO,Loblaw Companies Limited,Consumer Defensive,2022,56504000000.0,1921000000.0,17976000000.0,-1571000000.0,4755000000.0,0.0339975930907546,0.0278033413563641,-0.0426,0.1349,0.1775,0.6876,594557.3,3.0775165306879737,6.798089916666667
L.TO,Loblaw Companies Limited,Consumer Defensive,2023,59529000000.0,2100000000.0,19037000000.0,-2072000000.0,5654000000.0,0.03527692385224,0.0348065648675435,-0.0426,0.1349,0.1775,0.6876,602387.8,1.31703033500723,3.8944715
L.TO,Loblaw Companies Limited,Consumer Defensive,2024,60123000000.0,2171000000.0,18835000000.0,-2200000000.0,5802000000.0,0.0361093092493721,0.0365916537764249,-0.0426,0.1349,0.1775,0.6876,621065.3,3.100577402131988,2.3854825
L.TO,Loblaw Companies Limited,Consumer Defensive,2025,63903000000.0,2667000000.0,20032000000.0,-2062000000.0,6264000000.0,0.0417351298061123,0.0322676556656182,-0.0426,0.1349,0.1775,0.6876,,,
MFC.TO,Manulife Financial Corporation,Financial Services,2022,24159000000.0,-2100000000.0,,,16628000000.0,-0.0869241276542903,,,,,,594557.3,3.0775165306879737,6.798089916666667
MFC.TO,Manulife Financial Corporation,Financial Services,2023,-7037000000.0,5463000000.0,,,20423000000.0,-0.7763251385533608,,,,,,602387.8,1.31703033500723,3.8944715
MFC.TO,Manulife Financial Corporation,Financial Services,2024,-7288000000.0,5631000000.0,,,26494000000.0,-0.7726399560922064,,,,,,621065.3,3.100577402131988,2.3854825
MFC.TO,Manulife Financial Corporation,Financial Services,2025,53014000000.0,5782000000.0,,,32105000000.0,0.1090655298600369,,,,,,,,
MRU.TO,Metro Inc.,Consumer Defensive,2022,18888900000.0,846100000.0,3783300000.0,-621000000.0,1461400000.0,0.0447935030626452,0.0328764512491463,,,,,594557.3,3.0775165306879737,6.798089916666667
MRU.TO,Metro Inc.,Consumer Defensive,2023,20724600000.0,1014800000.0,4082200000.0,-679900000.0,1563500000.0,0.048965963154898,0.0328064232844059,,,,,602387.8,1.31703033500723,3.8944715
MRU.TO,Metro Inc.,Consumer Defensive,2024,21219900000.0,928800000.0,4179300000.0,-579700000.0,1677000000.0,0.0437702345439893,0.0273186961295764,,,,,621065.3,3.100577402131988,2.3854825
