ticker,company,sector,employees,year,revenue,net_income,gross_profit,capex,operating_cf,net_margin,capex_to_revenue
IMO.TO,Imperial Oil Limited,Energy,5000.0,2023,48300000000.0,4889000000.0,7115000000.0,-1785000000.0,3734000000.0,0.10122153209109731,0.03695652173913044
IMO.TO,Imperial Oil Limited,Energy,5000.0,2024,48824000000.0,4790000000.0,7058000000.0,-1867000000.0,5981000000.0,0.09810748812059643,0.03823939046370638
IMO.TO,Imperial Oil Limited,Energy,5000.0,2025,45203000000.0,3268000000.0,5548000000.0,-2005000000.0,6708000000.0,0.07229608654292857,0.0443554631329779
KXS.TO,Kinaxis Inc.,Technology,1837.0,2022,366889000.0,20080000.0,235787000.0,-18249000.0,24518000.0,0.05473044980907032,0.04973983957000619
KXS.TO,Kinaxis Inc.,Technology,1837.0,2023,426971000.0,10060000.0,258897000.0,-2299000.0,79357000.0,0.023561319152823026,0.00538444062945727
KXS.TO,Kinaxis Inc.,Technology,1837.0,2024,483111000.0,56000.0,294583000.0,-4515000.0,99213000.0,0.00011591539004493791,0.00934567832237312
KXS.TO,Kinaxis Inc.,Technology,1837.0,2025,548030000.0,70699000.0,354278000.0,-5689000.0,117800000.0,0.1290057113661661,0.01038081856832655
L.TO,Loblaw Companies Limited,Consumer Defensive,220000.0,2022,56504000000.0,1921000000.0,17976000000.0,-1571000000.0,4755000000.0,0.03399759309075464,0.027803341356364152
L.TO,Loblaw Companies Limited,Consumer Defensive,220000.0,2023,59529000000.0,2100000000.0,19037000000.0,-2072000000.0,5654000000.0,0.035276923852240086,0.03480656486754355
L.TO,Loblaw Companies Limited,Consumer Defensive,220000.0,2024,60123000000.0,2171000000.0,18835000000.0,-2200000000.0,5802000000.0,0.03610930924937212,0.036591653776424996
